Anime_ID|Genres
11770|adventure;comedy;drama;mystery;psychological;romance;science fiction;thriller;butterfly effect;conspiracy;technology;Time travel;tragedy
10216|adventure;comedy;drama;fantasy;thriller;alchemy;conspiracy;Homunculi;military;steampunk;tragedy
9701|comedy;drama;psychological;romance;supernatural;bishoujo;coming of age;family;moe;parenting;tragedy
210|action;drama;romance;historical;revenge;samurai;tragedy
9173|action;drama;magic;psychological;science fiction;conspiracy;immortality;mecha;military;mind control;politics;real robot;revenge;tragedy;war
377|adventure;drama;fantasy;spirits
15895|adventure;drama;mystery;psychological;supernatural;folklore;mythology;spirits
13|action;drama;science fiction;bounty hunters;space
11120|drama;magic;mystery;psychological;science fiction;alternate reality;high school;time travel
197|adventure;drama;fantasy;deforestation;spirits
1786|drama;science fiction;military;politics;space;space navy;war
6592|drama;mystery;psychological;supernatural;thriller;crime;death;detective;Magic Book;police;shinigami
5923|adventure;mystery;psychological;slice of life;supernatural;folklore;mythology;spirits
15223|action;comedy;drama;science fiction;Aliens;Historical;Parody;Samurai
12368|drama;romance;supernatural;ghosts;growing up;love triangle
6113|drama;shoujo-ai
12835|action;comedy;drama;science fiction;aliens;parody;samurai;space
6704|action;drama;magic;psychological;science fiction;Alternate history;immortality;mecha;military;mind control;politics;real robot;school;war
12398|comedy;slice of life;adoption;family;parenting;single parents
8421|action;drama;psychological;science fiction;mecha;military;post-apocalyptic
9210|drama;shoujo-ai
3750|drama;horror;mystery;psychological;thriller;amnesia;crime;detective;police;tragedy
10580|drama;romance;tournament;baseball;school;sports;tsundere
10544|adventure;comedy;drama;romance;science fiction;thriller;computers;family;social-networking;technology;virtual reality
152|drama;historical;tragedy;war;World War II
8495|action;drama;psychological;science fiction;crime;cyberpunk;military;police;politics;virtual reality
6696|drama;romance
1139|comedy;drama;tournament;sports
2960|adventure;drama;fantasy;alchemy;Homunculi;military;steampunk;tragedy
6733|adventure;comedy;drama;romance;science fiction;school;time travel
7010|comedy;drama;romance;college;music
14996|
13776|adventure;drama;romance;science fiction;conspiracy;military;space;space navy;war
180|adventure;drama;fantasy;science fiction;post-apocalyptic
6698|action;comedy;drama;science fiction;Burning Manly Passion;mecha;post-apocalyptic;super robot
13262|adventure;comedy;drama;fantasy;tournament;bounty hunters;developing powers;gore;special abilities;survival game
13862|drama;romance;supernatural;family;growing up
7492|action;comedy;horror;supernatural;alchemy;crime;historical;immortality;mafia
534|adventure;comedy;supernatural;forest spirits;magical creatures
13600|slice of life;supernatural;folklore;spirits
6440|comedy;drama;romance;Fine Arts;unrequited love
6431|drama;romance;supernatural;bishojo;moe;school
1965|adventure;psychological;slice of life;tragedy;traveling
7998|drama;science fiction;androids;café;robots
153|comedy;drama;delinquents;school
10387|comedy;drama;tournament
10254|comedy;slice of life;supernatural;folklore;spirits
12120|action;drama;magic;psychological;thriller;death;fighting;magical girl;moe;tragedy;witches
11350|drama;science fiction;androids;café;robots
889|adventure;drama;fantasy;romance;wizards
15054|comedy;drama;psychological;romance;supernatural;harem;vampires
15745|
16644|action;comedy;drama;Historical;Parody;Samurai
13944|drama;romance;coming of age;music
374|drama;psychological;romance;historical
7890|mystery;supernatural;demons
12542|slice of life;supernatural;spirits
1805|comedy;drama;acrobatics;gymnastics
6430|comedy;science fiction;slice of life;supernatural;school
7809|comedy;drama;romance;Bishojo;family;harem;high school;moe;school;school life
4194|adventure;drama;mystery;romance;science fiction;revenge
6115|drama;romance;music
2654|adventure;drama;romance;science fiction;space
10291|adventure;drama;fantasy;magical creatures;politics;tragedy
6300|drama;romance;tragedy
847|drama;romance;growing up
481|adventure;drama;fantasy;science fiction;steampunk
10576|action;drama;romance;science fiction;aliens;fighting;mecha;space;super robot;superpowers
10885|action;comedy;drama;fantasy;romance;amnesia;death;fighting;girls with guns;high school;life after death;music;school
6122|comedy;romance;slice of life;bishounen;crossdressing;host club;male harem;parody;school;school life
2636|action;drama;historical;samurai
10128|drama;psychological;romance;supernatural;death;tragedy
910|action;drama;mystery;science fiction;cyberpunk;cyborg;military;police;virtual reality
16660|comedy;drama;tournament;sports
8192|drama;psychological;romance;amnesia;love triangle
6634|adventure;drama;fantasy;assassins;spirits
8657|science fiction;slice of life;bishoujo;coming of age;moe
10269|adventure;drama;fantasy;romance;economics;folklore
16108|comedy;drama;psychological;romance;music;school
17219|
6357|comedy;drama;psychological;conspiracy;dark comedy;hikikomori;NEET;otaku
6832|action;drama;crime;girls with guns;mafia;pirates
4975|comedy;romance;slice of life;Fine Arts;unrequited love
12991|slice of life;card games
2340|action;drama;samurai
1135|adventure;drama;fantasy;thriller;assassins;revenge;special abilities
1865|drama;science fiction;military;space
7087|action;drama;fantasy;romance;revenge;tragedy
14976|drama;supernatural;coming of age;family;folklore;growing up;mythology;parenting;tragedy
14995|drama;romance
1871|drama;fantasy;mystery;psychological;angels
4115|comedy;drama;tournament;baseball;sports
10050|comedy;drama;romance;coming of age;family;growing up;high school;love rectangle;school;school life;tsundere;unrequited love
10806|action;drama;science fiction;mecha;military;real robot;war
353|action;drama;science fiction;bounty hunters;space;terrorists
8420|action;drama;psychological;science fiction;aliens;mecha;military;post-apocalyptic;real robot
840|adventure;drama;fantasy;demons;politics
2018|comedy;drama;parenting
376|comedy;drama;romance
10765|action;drama;romance;historical;martial arts;ninja;swordsman
5114|action;drama;horror;supernatural;gore;religion;vampires
8292|adventure;drama;fantasy;romance
10654|drama
4449|action;drama;romance;science fiction;mecha;military;real robot
10625|comedy;drama;romance;school;school life
1134|adventure;drama;fantasy;tournament;assassins;revenge;special abilities
4404|drama;high school;music
14122|action;drama;magic;psychological;thriller;fighting;gore;tragedy
6278|adventure;drama;mystery;science fiction;augmented reality;computers;technology
12543|romance;slice of life;supernatural;spirits
12311|comedy;drama
17020|
9859|comedy;drama;romance;music
16189|slice of life
9419|slice of life;supernatural;folklore;spirits
14669|drama;pirates;superpowers
328|action;drama;fantasy;horror;demons;middle ages;war
2066|action;adventure;drama;science fiction;mecha
15852|psychological;slice of life;tournament;coming of age;sports
915|sports
9178|adventure;drama;fantasy;psychological;romance;science fiction
13800|action;horror
15683|comedy;slice of life;tournament
155|action;comedy;slice of life;military;school;school life
1267|drama;magic;psychological;romance;ballet;fairy tales;magical girl
10474|adventure;mystery;psychological;romance;thriller;amnesia;neet;politics;social-networking;society
799|comedy;slice of life;Growing Up;school;school life
3177|adventure;comedy;fantasy;developing powers;survival game;virtual reality
899|adventure;drama;science fiction;post-apocalyptic
16728|drama;supernatural
10950|comedy;drama;romance;music
11983|comedy;drama;romance;School
15843|action;drama;supernatural;fighting;school
451|drama;fantasy;romance;crossdressing;historical;politics
11795|comedy;drama;romance;coming of age;family
3554|drama;supernatural;historical;war
425|drama;horror;psychological;science fiction;supernatural;ghosts
6142|mystery;psychological;science fiction;thriller;dreams
6717|action;mystery;science fiction;cyberpunk;police
88|action;comedy;drama;science fiction;post-apocalyptic;space western;western
1989|action;drama;mystery;science fiction;secret agents;superpowers
2635|action;drama;magic;science fiction;mafia;revenge;tragedy
6375|comedy;drama;romance;love polygon;school;school life
8537|adventure;drama;fantasy;romance;economics;trading;wolf girls
2294|adventure;drama;fantasy;science fiction;steampunk
16614|drama
13867|drama
73|action;comedy;drama;historical;martial arts;politics;samurai;swordplay
8551|comedy;drama;horror;mystery;psychological;supernatural;folklore;spirits
10091|comedy;drama;romance;idols;revenge
10199|psychological;tournament;baseball;sports
419|action;drama;psychological;science fiction;mecha
7081|adventure;drama;mystery;military;police
2282|adventure;fantasy;developing powers;survival game;virtual reality
14950|action;drama;fantasy;horror;psychological;thriller;military;post-apocalyptic;superpowers;tragedy
12198|action;comedy;drama;science fiction;fighting;super hero;superpowers
16036|comedy;romance;school
1802|science fiction;historical;military;space
595|adventure;drama;magic;Growing up;witches
3470|drama;tournament;sports
6159|action;drama;crime;girls with guns;mafia;pirates
11759|adventure;drama;mystery;romance;alternate history;detective;folklore;gothic lolita;occult;war
366|action;drama;romance;science fiction;aliens;love triangle;mecha;military;space
10157|action;drama;science fiction;mecha;military;real robot;war
355|action;drama;romance;science fiction;aliens;love triangle;mecha;military;real robot;space;space navy;war
17217|drama;mystery;psychological;thriller;assassins;butterfly effect;time travel;tragedy
49|action;drama;psychological;science fiction;mecha;military;post-apocalyptic;super robot;tragedy
2019|drama;romance;slice of life;historical
6236|action;adventure;comedy;drama;fantasy;science fiction;Aliens;historical;parody;Samurai
12142|comedy;slice of life;School life
8586|action;drama;romance;science fiction;aliens;idols;love triangle;mecha;military;music;space
7382|action;drama;mystery;psychological;science fiction;supernatural;assassins;conspiracy;crime;fighting;living dolls;police;superhuman;superpowers
12376|action;drama;fantasy;psychological;fighting;spirits
6243|action;science fiction;cyberpunk;terrorism
10519|drama;horror;psychological;crime;death
13890|science fiction;space;technology
15761|drama;psychological
16693|adventure;drama;fantasy
9174|adventure;science fiction;aliens;space
127|adventure;comedy;crime
3521|adventure;drama;tragedy
10704|adventure;drama;disaster;earthquake;tragedy
4797|adventure;drama;romance;science fiction;aliens;fighting;growing up;mecha;military;real robot
287|adventure;drama;science fiction;Another world;military;post-apocalyptic;war
7489|drama;romance;historical
4114|comedy;romance;slice of life;bishoujo;love polygon;parody;school;school life
5644|action;drama;mystery;psychological;science fiction;cyberpunk;police
15855|action;drama;horror;psychological;romance;science fiction;aliens;crime;fighting;gore;tragedy
16595|action;drama;fantasy;horror;fighting;post-apocalyptic;steampunk;superpowers;tragedy
2324|adventure;drama;romance;science fiction
10855|adventure;comedy;fantasy;pirates;superpowers
12221|action;comedy;drama;magical girl
10172|comedy;music
13799|
465|action;psychological;science fiction;cyberpunk;cyborg;police
2026|magic;romance;magical girl
14850|action;drama;magic;psychological;thriller;fighting;girls with guns;tragedy;witches
855|adventure;comedy;aircraft;historical
7468|comedy;drama;romance;school;school life
17645|comedy;drama;mystery;supernatural
9700|drama;horror;romance;thriller;delinquents
14975|drama;romance;historical;World War II
3469|comedy;drama;tournament;sports
16648|comedy;romance;slice of life;cafe
3433|comedy;drama;tournament;sports
220|adventure;comedy;fantasy;demons;fighting;monsters
154|action;drama;science fiction;mecha;military;real robot;space;space navy
8455|comedy;slice of life;tournament;kendo;moe;sports
8190|action;drama;science fiction;mecha;military;war
493|drama;romance;love triangle
16031|mystery;supernatural;bishounen;dark comedy;demons;historical
1800|science fiction;military;space
15017|comedy;slice of life;school
1381|action;drama;science fiction;mecha;military;real robot;Space;Space Navy;War
2130|adventure;drama;slice of life;historical;moe
14363|action;drama;magic;psychological;thriller;death;fighting;girls with guns;tragedy;witches
14364|action;drama;magic;psychological;thriller;death;fighting;girls with guns;tragedy;witches
466|adventure;drama;science fiction;fanservice;mecha;military;space navy;super robot
11282|comedy;romance;crossdressing;otaku;parody
3396|drama;tournament;auto racing;sports
11212|adventure;drama
448|drama;science fiction;military;space
11197|comedy;drama;romance;school
775|action;drama;romance;science fiction;mecha;military;space
912|slice of life;supernatural;tournament;school;sports
7454|drama;horror;mystery;psychological;supernatural;thriller;conspiracy;death;goddesses;harem;revenge;time travel;tragedy
2680|adventure;drama;mystery;science fiction;thriller;detective;survival game
14858|comedy;drama;fantasy;romance;parody;post-apocalyptic;unrequited love
3127|action;fantasy;science fiction;mecha;samurai
2683|adventure;mystery;crime;detective
2682|action;drama;mystery;romance;amnesia;crime;detective;police
15118|adventure;comedy;drama;fantasy;science fiction;virtual reality
872|comedy;drama;romance;supernatural;idols;magical girl;music;shinigami
16309|tournament;sports;tennis
7868|drama;romance;supernatural;bishounen;historical;male harem;politics
7767|comedy;psychological;slice of life;dark comedy;harem;parody;school
11716|adventure;drama;science fiction;aliens;mecha;robots
2681|comedy;drama;mystery;thriller;crime;detective
10166|action;drama;psychological;crime organizations;girls with guns;revenge
11227|comedy;tournament;baseball;sports
619|drama;romance;tournament;baseball;school;sports;tragedy
277|comedy;drama;science fiction;aliens;coming of age;parody
4168|comedy;slice of life;otaku
5838|
2131|adventure;drama;mystery;supernatural;historical
659|comedy;tournament;basketball;sports
7985|comedy;drama;romance;otaku
16347|adventure
14195|action;psychological;science fiction;thriller;crime;cyberpunk;future;gore;police
15249|mystery;psychological;harem;multiple personality
10056|adventure;comedy;fantasy;demons
8803|comedy;slice of life;dark comedy;harem;parody;school
6425|science fiction;slice of life
16655|comedy;slice of life;school life
7028|action;drama;fantasy;romance;female warriors;monsters;revenge;swordplay;tragedy
12998|drama;mystery;psychological;supernatural;conspiracy;tragedy
1797|action;fantasy
6075|drama;fantasy;supernatural;acrobatics;gymnastics
12307|romance;slice of life;school
15542|comedy;drama;tournament;Sports
16826|tournament;baseball;sports
348|comedy;drama;romance;supernatural;bishounen;family;school
16840|action;comedy;cyborg;fighting;gore;parody;superhero
9070|action;comedy;fantasy;human weapons;school;shinigami;superpowers;Witches
4506|drama;romance;england;historical;historical (england)
6134|drama;horror;mystery;psychological;supernatural;thriller;conspiracy;death;gore;moe;revenge;tragedy
844|action;comedy;drama;science fiction;mecha;military;real robot;school;terrorists
14258|action;comedy;drama;pirates
669|action;drama;science fiction;fighting;mecha;superhumans
2024|comedy;parody
327|action;comedy;drama;romance;espers;love triangle;superpowers
192|drama;horror;mystery;psychological;thriller;idols
10207|action;science fiction
939|action;drama;science fiction;mecha;military;music;real robot
10952|action;drama;fantasy;science fiction;Mecha;military;politics;tragedy;war
11396|mystery;supernatural
15205|comedy;drama;fantasy;family;folklore;gender switch
15973|comedy;drama;supernatural;basketball;ghosts;sports
5770|action;drama;magic;magical girl
10052|action;drama;horror;supernatural;demons;gore;tragedy
4363|adventure;drama;psychological
10947|action;comedy;drama;mystery;supernatural;thriller;coming of age;conspiracy;crime;fighting;Gangs;growing up;social-networking;spirits
240|adventure;drama;fantasy;romance;science fiction;mecha
1823|comedy;slice of life;supernatural;ghosts
819|action;drama;mystery;science fiction;secret agents;superpowers
16342|comedy;supernatural;fanservice;vampires
879|action;science fiction;angels;police
16232|action;comedy;drama;fantasy;developing powers;fighting;pirates;superpowers;war
16825|action;drama;supernatural;fighting;school
8550|action;psychological;survival game;yakuza
342|action;drama;science fiction;mecha;military
6488|science fiction;military;space
10224|comedy;dark comedy;harem;parody;school
7421|comedy;drama;slice of life;tournament;baseball;sports
6200|drama;romance;supernatural;bishounen;historical;male harem;politics
10584|action;drama;fantasy;romance
14|adventure;drama;romance;science fiction;military;space;space navy;war
311|action;comedy;drama;supernatural;tournament;demons;detective;fighting;martial arts;shinigami;special abilities;spirits
16154|adventure;comedy;drama;fantasy;romance;bishounen;dragons;historical;love triangle;politics;revenge;special abilities;tsundere
6072|action;comedy;science fiction;aliens;parody;samurai
14781|comedy;drama;romance;card games;sports
647|comedy;drama;psychological;aliens
11200|comedy;drama;psychological
7510|drama;psychological;science fiction;bishounen;espers;space;superpowers
6909|comedy;slice of life;otaku
11207|action;drama;mystery;thriller;crime;detective;terrorists
16278|action;drama;thriller;military;tragedy
883|action;drama;science fiction;mecha;military;real robot;space;tragedy;war
13906|adventure;drama;fantasy;science fiction;parallel universe
11152|action;comedy;drama;aliens;parody;samurai
9499|action;comedy;science fiction;gunslinger;western
16186|science fiction;space;space navy
14729|action;drama
14337|
6456|action;science fiction;tournament;aliens;racing
10970|action;drama;fantasy;romance;demons;historical;time travel
12141|adventure;fantasy;romance
2938|drama;horror;mystery;romance;supernatural;vampires
817|adventure;magic;science fiction;superpowers
310|action;drama;romance;historical;samurai
160|adventure;comedy;science fiction;harem;military;space
3757|adventure;drama;mystery;thriller;crime;detective
1152|action;drama;tournament;auto racing;sports
14940|comedy;fantasy;moe;witches
10805|comedy;slice of life;dark comedy;harem;parody;school
15096|action;science fiction;cyberpunk;mecha;police
12841|comedy;romance;slice of life;cafe
10542|comedy;drama;magic;romance;school
7222|comedy;slice of life;moe;otaku;parody;school;twins
16329|comedy;drama;romance;school
8760|drama;psychological;supernatural;thriller;girls with guns;life after death;magical girl;multiple personality;tragedy
447|action;drama;romance;science fiction;military;space;space navy;war
4155|action;drama;magic;romance;magical girl;school
836|adventure;comedy;drama;fantasy;developing powers;fighting;pirates;superpowers;war
11176|action;drama;Historical;Samurai
10713|adventure;magic
15775|comedy;drama;school
849|action;drama;magic;mystery;psychological;romance;science fiction;mecha;military;super robot
11963|comedy;slice of life;music
13332|comedy;slice of life
15596|slice of life
924|drama;historical;World War II
14448|comedy;drama;romance;bishoujo;school;school life
580|drama
392|comedy;drama;romance;high school;school
2391|adventure;drama;science fiction;music
10662|action;comedy;romance;slice of life;fanservice;hikikomori;love polygon;maids;otaku;parody;school;school life;tsundere
6684|comedy;slice of life;moe
484|action;comedy;mystery
207|drama;magic;psychological;romance;Duels;school
13743|comedy;slice of life;School
11363|
9601|action;comedy;drama;science fiction;coming of age;fighting;mecha;post-apocalyptic;super robot
13542|drama;psychological;romance;science fiction;time travel
4899|romance;science fiction;space
11047|comedy;slice of life
11211|drama;supernatural
12397|action;fantasy;demons;middle ages;military;war
921|adventure;comedy;romance;science fiction;slice of life;aliens;harem
5023|drama;romance
16657|comedy;drama;bishoujo;music;school
12526|comedy;drama;magic
15751|comedy;slice of life;school
5957|comedy;romance;slice of life;love polygon;school;school life
4176|adventure;drama;fantasy;alchemy;historical;Homunculi;military;war
238|adventure;drama;horror;supernatural;monsters;post-apocalyptic;vampire
17834|fantasy
14167|comedy;drama;music;school;school life
15274|drama;romance;high school;love triangle;Music
5115|adventure;drama;mystery;psychological;science fiction;cyberpunk;post-apocalyptic
3344|action;fantasy;science fiction;fighting;post-apocalyptic
10522|action;drama;mystery;detective
12059|drama;tournament;Baseball;sports
6346|adventure;drama;mystery;thriller;detective
5943|action;drama;romance;supernatural;monsters;spirits;superpowers;tsundere
1006|mystery;slice of life;crime;detective
501|action;drama;science fiction;artificial intelligence;idols;mecha;military;music;real robot
1154|drama;tournament;auto racing;sports
487|science fiction
15791|action;fantasy;bounty hunters;demons;post-apocalyptic;war
13258|horror;mystery;psychological;supernatural;death;school
6531|action;drama;psychological;crime;yakuza
4381|drama;psychological
15509|comedy;fantasy;science fiction;slice of life;family;gods;monsters;parallel universe
16822|
9694|comedy;romance;harem;mermaid;school
10815|drama;mystery;romance
5887|adventure;drama;psychological;romance;science fiction;parallel universe;quantum physics;time travel
12056|supernatural;Dreams
868|adventure;comedy;fantasy;talking animals
13330|
2083|adventure;comedy;drama;fantasy;science fiction;post-apocalyptic
5356|comedy;magic;slice of life;gods;moe;school
13817|drama;mystery;romance;literature;moe;school;school life
16375|drama;mystery;psychological;death
13448|comedy;drama;romance;science fiction;aliens;fanservice;love polygon;school
10583|comedy;mystery;supernatural;folklore
14445|action;supernatural;thriller
24|action;drama;romance;science fiction;mecha;military;real robot
2679|action;drama;mystery;thriller;crime;detective
6703|action;comedy;drama;supernatural;historical;spirits
11478|comedy;dark comedy;parody
15974|drama;mystery;thriller;high school;terrorism
16514|comedy;romance
8989|comedy;slice of life
6256|comedy;drama;romance;military
13894|comedy;drama;romance;school
2947|action;drama;psychological;science fiction;assassins;cyborg;girls with guns;terrorists
7460|comedy;fantasy;romance;slice of life;harem;mermaid;yakuza
15496|action;science fiction;aliens;mecha;military;real robot
14819|science fiction;superpowers
11821|action;romance;science fiction;aliens;love triangle;mecha;music;space
10930|action;comedy;drama;romance;science fiction;aliens;idols;love triangle;mecha;military;music;real robot;space
5504|magic;science fiction;slice of life
4823|comedy;slice of life
11421|comedy;slice of life
16083|comedy;slice of life
3758|action;drama;mystery;crime;detective
17732|adventure;drama;fantasy;fighting;survival game;virtual reality
5088|action;drama;horror;mystery;supernatural;monsters;vampires
165|comedy;drama;romance
12323|
4771|adventure;drama;mystery;crime;detective
7814|adventure;magic;mermaids
1806|adventure;drama;fantasy;mystery;science fiction;post-apocalyptic
13353|
5081|drama;romance;coming of age
6827|drama;horror;supernatural;death;revenge
375|action;horror;psychological;science fiction;supernatural;cyberpunk;military;post-apocalyptic;psychics;superpowers
16742|idols;music;school life
17123|adventure;comedy;fantasy;goddesses;NEET;parody
10707|comedy;slice of life;family
16073|tournament;auto racing;sports
10146|comedy
492|action;comedy;drama;romance;slice of life;love triangle;superpowers
17831|adventure;drama;fantasy;fanservice;military;otaku;parallel universe;politics
10758|comedy
16167|adventure;comedy;drama;fantasy
6052|adventure;comedy;horror;mystery;psychological;slice of life;supernatural;folklore;ghosts;occult;spirits
7818|science fiction;slice of life;bishoujo;coming of age;moe
126|adventure;comedy;magic;romance;magical girl;school
12357|action;comedy;drama;supernatural;demons;developing powers;spirits
10417|action;drama;horror;supernatural;death;girls with guns;life after death;priests and priestesses;revenge
10620|action;mystery;psychological;romance;amnesia;politics;social-networking;society
2941|adventure;supernatural;magical creatures
7037|drama;science fiction
9842|comedy;slice of life;moe;otaku;parody;twins
6073|drama;science fiction
9287|action;science fiction;alien;space
919|adventure;comedy;drama;fantasy;romance;science fiction;supernatural;aliens;harem
14089|adventure;drama;fantasy;horror;mystery;psychological;science fiction;espers;monsters;post-apocalyptic;tragedy
15714|romance;slice of life;tournament;school;tennis
3772|comedy
161|drama;psychological;romance;science fiction;thriller;military;police
8064|comedy;slice of life;college;microbiology
14873|drama;science fiction;Idols;Mecha;Music
14079|
6294|psychological;yakuza
8695|comedy;slice of life
3169|drama;horror;mystery;psychological;supernatural;Police;Police
12431|comedy;drama;magic;romance;love triangle;school;school life
8536|comedy;slice of life;family;school
12249|adventure;drama;mystery;thriller;crime;detective;police
1140|comedy;parody
166|drama;mystery;psychological;science fiction;supernatural;computers;cyberpunk;virtual reality
16030|action;comedy;mystery;supernatural;bishounen;dark comedy;demons;historical;shinigami
14572|tournament;auto racing;sports
14888|comedy;romance;slice of life;school;school life
2570|drama;psychological;romance;love triangle;tragedy
16149|action;science fiction;aliens;mecha;military;real robot
385|adventure;science fiction;historical
11789|action;mystery;romance;supernatural;harem;Vampire
17081|slice of life
3447|slice of life
15692|action;comedy;supernatural;thriller
2480|drama;romance;supernatural;bishojo;moe;tragedy
11715|
4241|adventure;drama;fantasy;mystery;psychological;romance;science fiction;aliens;alternate history;detective;spirits
15681|adventure;drama;historical
507|adventure;drama;science fiction;aliens;military;pirates;space;war
7293|action;drama;fighting;ninja;revenge;war
424|adventure;drama;mystery;psychological;science fiction;military
810|romance;slice of life;coming of age
2727|action;comedy;mystery;science fiction;crime;mafia
1469|action;adventure;drama
423|adventure;comedy;drama;magic;science fiction;bounty hunters;pirates;space;space western
4240|action;drama;supernatural;developing powers;shinigami;spirits;superhumans;superpowers;swordplay
10919|action;mystery;psychological;thriller;amnesia;politics;social-networking;society
16310|
