Anime_ID|Master-piece|Excellent|Very good|Good|Decent|So-so|Not really good|Weak|Bad|Awful|Worst ever
11770|0.570695287|0.25314979|0.0963602427|0.0405972935|0.0093327112|0.0097993467|0.0039664022|0.0048996734|0.0032664489|0.0018665422|0.0060662622
10216|0.5080273113|0.3020852556|0.1083225687|0.0405978963|0.0142092637|0.0081195793|0.0044288614|0.0036907178|0.0020298948|0.0020298948|0.0064587562
9701|0.6241570805|0.1743355811|0.0807219357|0.0448234827|0.0172550575|0.0097183657|0.0055533518|0.0095200317|0.0029750099|0.0045616819|0.0263784213
210|0.5402281369|0.2203802281|0.1111787072|0.0580988593|0.0205323194|0.0126235741|0.006539924|0.0057794677|0.0022813688|0.0038022814|0.0185551331
9173|0.5381694383|0.2401466544|0.1135262538|0.0505434071|0.0225219327|0.0070708393|0.0074636637|0.0049757758|0.0040591855|0.0020950635|0.0094277858
377|0.4608881547|0.2815081139|0.1390535419|0.0695753571|0.022738315|0.0107861238|0.0034982023|0.0037897192|0.0016519289|0.0014575843|0.0050529589
15895|0.415|0.3375|0.14|0.0575|0.0125|0.01|0|0|0|0|0.0275
13|0.4605042017|0.2907563025|0.1256302521|0.0648739496|0.0216806723|0.0144537815|0.0058823529|0.0067226891|0.0021008403|0.0021008403|0.0052941176
11120|0.4647147147|0.2822822823|0.1347597598|0.0619369369|0.0187687688|0.0063813814|0.0037537538|0.0052552553|0.0063813814|0.006006006|0.0097597598
197|0.4335482529|0.2936772047|0.1462146423|0.0761231281|0.0245424293|0.0134151414|0.0038477537|0.0042637271|0.0014559068|0.0005199667|0.0023918469
1786|0.5852534562|0.153609831|0.0798771121|0.0721966206|0.024577573|0.0184331797|0.0138248848|0.0107526882|0.0076804916|0.0092165899|0.024577573
6592|0.4457247298|0.2824221233|0.1404164018|0.0684202161|0.0255880483|0.013747616|0.0054036872|0.007151939|0.0026223776|0.0021455817|0.0063572791
5923|0.46692607|0.2531230801|0.1269711243|0.0724964161|0.0260086013|0.0237558878|0.0047102191|0.009010854|0.0036862584|0.0047102191|0.0086012697
15223|0.4497607656|0.2535885167|0.1244019139|0.0717703349|0.028708134|0.014354067|0.009569378|0.014354067|0|0|0.033492823
12368|0.4389110226|0.2579681275|0.1663346614|0.0753652058|0.0278884462|0.0126162019|0.0046480744|0.0046480744|0.0026560425|0.0026560425|0.0063081009
6113|0.4485190409|0.221438646|0.1875881523|0.0874471086|0.0296191819|0.0084626234|0|0|0.0028208745|0|0.0141043724
12835|0.4973262032|0.2299465241|0.1203208556|0.0695187166|0.0240641711|0.0160427807|0.0106951872|0.0080213904|0.0053475936|0.0053475936|0.013368984
6704|0.4195466786|0.3150807899|0.1456463196|0.0603680431|0.0236759425|0.0112208259|0.0057226212|0.006508079|0.0033662478|0.0024685817|0.0063958707
12398|0.2736466389|0.4063057704|0.2189173111|0.0773349197|0.0178465199|0.004164188|0.001784652|0|0|0|0
8421|0.3804020101|0.3311557789|0.1512562814|0.0804020101|0.0231155779|0.0105527638|0.0085427136|0.0045226131|0.0020100503|0.0010050251|0.0070351759
9210|0.4343434343|0.2505050505|0.1616161616|0.0888888889|0.0323232323|0.0080808081|0.004040404|0.004040404|0|0|0.0161616162
3750|0.4702558001|0.248364069|0.1264128495|0.0642474717|0.0226055919|0.0276621059|0.010113028|0.0139797739|0.004759072|0.004759072|0.006841166
10580|0.3338414634|0.368902439|0.1692073171|0.0914634146|0.0213414634|0.0076219512|0|0.0045731707|0.0030487805|0|0
10544|0.3574938575|0.3135749386|0.1855036855|0.0881449631|0.0304054054|0.0104422604|0.0076781327|0.0058353808|0.0009213759|0|0
152|0.4623799955|0.2221478008|0.1393168118|0.0814914043|0.0352757312|0.0227729404|0.0098236213|0.0100468855|0.0064746595|0.0026791695|0.0075909801
8495|0.2982806877|0.3794482207|0.1963214714|0.0779688125|0.0219912035|0.0131947221|0.0027988804|0.0027988804|0.0035985606|0.0015993603|0.0019992003
6696|0.4634364384|0.225281602|0.1294475237|0.0883246916|0.0328982657|0.0259252637|0.009118541|0.0132308242|0.0044698731|0.0033971035|0.0044698731
1139|0.3679245283|0.3044025157|0.1880503145|0.0830188679|0.0176100629|0.0132075472|0.0081761006|0.0106918239|0.0025157233|0.0031446541|0.0012578616
2960|0.3485878266|0.3339374717|0.1765594321|0.07951971|0.0266576046|0.0124603534|0.0065700045|0.0058148316|0.0027941399|0.0021900015|0.0049086241
6733|0.2907538062|0.3759747494|0.19494987|0.0859636094|0.023950984|0.0096546602|0.0042703305|0.0051986632|0.0040846639|0.0016709989|0.0035276643
7010|0.3097605893|0.3543278085|0.1959484346|0.0810313076|0.0250460405|0.0121546961|0.0044198895|0.0062615101|0.002946593|0.0025782689|0.0055248619
14996|0.427480916|0.2519083969|0.213740458|0.0763358779|0.0305343511|0|0|0|0|0|0
13776|0.3162055336|0.347826087|0.1818181818|0.1185770751|0.0197628458|0.0079051383|0|0.0079051383|0|0|0
