Anime_ID|Staff_ID
11770|593;9693;35713;16408;11608;16408;32136;403;593;669;5455;9693;10610;21263;35713;45891;101480;403;593;669;9693;11890;21263;32691;35713;65504;80557;84034;102320;403;593;73732;107471;86803;75758;60130;75758;403;4664;5113;11461;23248;27249;28003;28012;30342;31780;31781;34448;36241;36451;40241;40602;75758;78000;85394;54465;7841;40446;35013;39394;50126;51941;77911;98396;48349;49821;64107;67600;72229;105651;110469;125133;135423;1386;31220;58419;64331;65527;71281;83913;85022;93816;111977;26049;26370;27600;35847;44700;51110;61334;103410;113996;134567;524;529;5595;9744;10397;16095;21471;25957;53741;89468
10216|3555;402;402;5720;8361;56110;63946;449;1724;2273;3027;3555;4093;5795;6644;9803;10960;11986;12548;14480;19534;21104;28779;45252;46901;48452;52699;62666;89268;108526;144731;450;2273;3555;3614;5866;6649;9803;11235;12548;24475;34655;37273;39253;45782;46292;46699;46901;48452;57979;74492;79991;89837;108526;144731;17449;17621;10234;20585;2271;2628;3113;3360;5113;9094;10234;10525;13620;14951;18573;24059;29115;29243;33441;35659;36946;37596;41316;43273;44786;45443;46556;47547;49810;51459;53683;71278;78018;107823;26530;39282;317;8181;13586;35390;55574;22737;22754;22934;30221;30320;32405;32413;39932;42049;50328;63654;67598;68256;69922;69996;72532;82336;110472;112251;1062;1064;1131;1386;1388;1665;2074;2516;2525;4213;7108;9199;10070;10794;12637;20342;20935;29271;37371;44594;52629;57984;58419;59214;62405;65527;73304;74864;100785;100786;100786;100786;100786;123642;125507;38506;38507;38747;48554;51564;95433;3748;34267;38549;38726;38727;38732;45722;51643;55615;57450;81517;15785;18122;18122;18132;25929;25932;25933;25938;25947;25985;25991;26161;26261;26324;27796;45092;45092;45092;45098;45098;45098;51100;53232;58118;68702;70564;74590;659;808;845;1178;2380;5108;51047;14486;90686;90687;96183;96191;96350;96411;96475;96485;96502;96504;96511;48738;48749;48757;48761;48836;48871;48872;48878;48884;48892;48893;49238;49429;74142;38910;38910;38936;38936;39030;39805;42178;46224;50594;51983;66518
9701|9087;8956;8956;9087;9153;13295;28849;37454;37456;39701;39704;39705;112018;9087;9153;13295;28849;37454;37456;39701;39704;39705;112018;1373;37451;51681;48291;27993;38079;38079;27993;7692;9092;27993;37457;37459;38075;38090;88726;254;49308;13293;15892;16973;60001;22757;27473;30268;47813;48061;48350;59073;60865;64107;68004;70201;83368;83375;107474;113395;116571;125194;126778;129478;132048;1065;3657;4919;7734;9293;12493;12493;21909;44594;44595;46544;53436;63337;67413;83471;278;281;438;504;524;526;542;718;975;2146;3166;4271;5918;8851;13321;15878
210|36;10424;36;49515;10959;132;22176;27828;27880;27965;28162;28163;28164;28165;28166;35;37;38;37;59;3360;5028;10427;570;2634;4238;6682;142233;27476;67598;613;6289;32388;50521;38546;18130;25932;26161;26237;777;4606;73370;96350
9173|3109;26763;36992;26763;3109;8124;9089;10002;10957;18525;47634;82524;5795;14473;14479;14731;15060;18525;23380;34872;45619;45782;47634;55305;63933;74977;85486;2635;8952;19;3109;26763;5765;7669;13745;9;1761;7669;12244;14471;28004;34998;96743;9;513;997;1761;2802;3028;7272;7657;7669;10439;10443;10635;10852;11472;12244;12834;14471;15067;16961;18543;20775;21258;22429;22550;23248;24185;25194;25213;25762;27297;28004;32796;33289;34990;34998;36529;36946;37787;37852;38887;39218;40347;42241;49721;64389;71403;85480;96743;136;3080;7014;12244;16403;13745;19897;7588;2949;46540;18630;48430;4881;8468;13585;18624;22711;22726;22733;22936;22976;27476;28547;28552;30320;39867;41089;68481;906;1074;1283;1389;1435;1438;2255;2258;2532;3032;3419;3419;3538;3644;4019;4033;4035;7109;7125;11767;13201;20166;25241;26803;29218;42256;60057;73904;28718;29182;31238;38551;38551;38760;38772;40008;44992;44992;51622;55615;55615;55617;55617;55847;57450;59010;65078;70472;70472;72972;76518;76518;79281;82398;84637;88967;8999;26047;26048;26054;26165;26191;26194;26588;26612;27002;27034;27425;27583;27600;35847;38012;43093;44700;46997;47035;50865;51110;51112;51277;53523;53525;61217;70851;71347;71788;74335;285;337;439;542;546;912;954;1030;1041;1137;1374;1376;1495;2068;2163;3170;3170;3176;5039;5047;6844;9815;12602;13291;16594;17254;61038;65578;15939;15939;15939;15939;38927;38927;39656;42182;42182;42182;42182;42182;49417;49417;49417;52005;52005;52005;52005;52005;52005;52005;56587;59745;59745;59745;59745;72628;72628;72628
377|51;51;51;1196;51;1194;4197;1194;1712;4658;1203;1187;1186;31760;31761;31762;31762;31763;31764;31765;31766;31767;23114;23115;23116;1509;1510;1512;23531;27648;27649;27660;32155;36810;50483;50484;50484;50789;55452;3735;27669;57032;26171;27663;53697;134567;144553;1206;1207;1208;37286;37289;37290;37291;101528;48829;48841;48945;49658;40259;40260;40262
15895|25257;25257;39761;13886;14044;25257;39761;48244;565;36831;64;1683;64;64;7593;12527;18278;18314;18318;60957;5458;65821;384;787;834;912;1011;1047;1176;1311;1506;1576;1605;2061;2132;2146;5735;8074;14377;39383;48974;52039;56091;67797;74088;84096;86669;91688;101483;104148;104544;111053;115779;117490;117890;128010;128011;128091;128318;128452;128470;128623;128624;129191;129192;129193;129295;132413;132946;133656;134361;134362;134363;134364;134561;134563;134564;134565;134677;134678
13|774;1026;31;227;325;429;774;1026;8823;10038;10039;260;644;732;774;2689;4069;4143;4786;9089;14948;27971;4786;5866;7588;9089;13830;774;734;5757;12544;13531;13846;19279;24433;27831;27900;27904;28184;28209;30855;33824;64904;64905;64906;64907;64908;64909;64910;64911;64912;64914;19;96;89;96;96;274;343;1570;4784;8734;10234;12244;20775;125;6695;182;726;22734;22747;24843;27476;28529;30089;30326;33775;539;1160;1182;1183;1184;1185;1294;3676;4545;4547;6302;23480;24089;24095;24114;30841;31677;32390;36191;50565;50566;50750;52337;62923;62924;62925;62926;62927;28731;28732;28734;29314;29413;31238;63571;25902;25917;26004;26156;26196;26508;26698;391;546;847;954;1009;1178;1181;1497;2134;3058;6602;73367;96187;96188;96257;96278;96296;96338;96341;96413;96517;96870;15932;15939;39024;39769;39769;57888
11120|9087;9153;8956;9087;9153;112018;28849;37454;39701;39705;56433;112018;55249;55034;48699;9092;1824;9092;37457;7692;27993;37459;38075;38090;74455;88726;254;17907;55380;10470;28845;22721;22745;30959;31006;49243;49359;49821;54703;59073;70202;531;531;1074;1091;1184;1283;2256;3419;7125;14772;43197;51640;58257;70471;70473;385;910;5683;6581;12602;14922;14929;19366;22271;36980;69064;69103;69109;69112;69115;69118;69125;73666;73667;73670
197|51;51;1196;51;1194;1541;1698;1810;1811;1812;4197;1189;1190;1186;31958;77818;99686;28905;32106;2029;2030;2031;2032;2033;2034;24086;47726;50389;50917;52295;52296;52297;76030;97766;98199;118958;29299;29378;52131;26012;26049;26372;27036;27176;40724;58334;70851;105714;119741;787;2037;2038;2039;14486;96342;96350;96381;96413;96598;48848;49548;110302
1786|8366;32596;133136;8366;38367;1673;3904;8509;8525;38367;44811;70423;272;324;558;588;603;2181;3478;4306;4309;4773;6648;8366;8838;9544;10732;12251;13628;19231;21654;22907;25317;33097;37361;37632;46018;63706;71812;71813;71814;71815;128474;146737;6;558;603;615;3478;4306;4309;5437;5854;8358;8366;8866;9544;9974;12251;13212;13374;13628;16921;19231;19467;20564;21488;21654;30607;32677;33097;34843;37361;37632;43194;46018;51388;51962;63073;63706;64026;71812;71815;71844;71845;25852;100433;7844;67;72;469;1279;1637;1919;4309;4641;4781;5148;5777;9487;9974;10732;15377;13;1683;2842;4124;4125;4457;8876;10751;19457;19516;20334;21965;25253;15377;44963;13;469;2180;2445;4309;4456;4719;5777;8226;8866;9105;9544;10732;10861;11126;11455;13212;13484;13904;15218;15377;17294;18634;19225;21570;25317;27704;29380;29536;30519;38378;40634;71816;26814;12296;1380;9138;9912;2910;7845;32596;33998;133134;133135;720;722;724;852;954;1011;1012;1014;1022;1046;1104;1311;2060;2109;2116;2133;2170;2378;2596;3486;4274;4668;4762;5118;5682;10303;15629;16306
