Anime_ID|Anime_name
11770|SteinsGate (TV)
10216|Fullmetal Alchemist: Brotherhood (TV)
9701|Clannad After Story (TV)
210|Rurouni Kenshin: Trust & Betrayal (OAV)
9173|Code Geass: Lelouch of the Rebellion R2 (TV)
377|Spirited Away (movie)
15895|Mushishi: The Next Chapter (TV)
13|Cowboy Bebop (TV)
11120|Disappearance of Haruhi Suzumiya (movie)
197|Princess Mononoke (movie)
1786|Legend of the Galactic Heroes (OAV)
6592|Death Note (TV)
5923|Mushi-Shi (TV)
15223|Gintama' (TV 2012)
12368|anohana: The Flower We Saw That Day (TV)
6113|Maria Watches Over Us 3rd Season (OAV)
12835|Gintama' (TV)
6704|Code Geass: Lelouch of the Rebellion (TV)
12398|Bunny Drop (TV)
8421|Evangelion: 2.0 You Can (Not) Advance (movie)
9210|Maria Watches Over Us 4th Season (TV)
3750|Monster (TV)
10580|Cross Game (TV)
10544|Summer Wars (movie)
152|Grave of the Fireflies (movie)
8495|Ghost in the Shell: Stand Alone Complex 2nd GIG (TV)
6696|5 Centimeters Per Second (movie)
1139|Fighting Spirit (TV)
2960|Fullmetal Alchemist (TV)
6733|Girl Who Leapt Through Time (movie)
7010|Nodame Cantabile (TV)
14996|Gekijōban Gintama Kanketsu-hen: Yorozuya yo Eien Nare (movie)
13776|Star Blazers 2199 (TV)
180|Nausicaä of the Valley of the Wind (movie)
6698|Gurren Lagann (TV)
13262|Hunter × Hunter (TV 2011)
13862|Wolf Children (movie)
7492|Baccano! (TV)
534|My Neighbor Totoro (movie)
13600|Natsume's Book of Friends (TV 4)
6440|Honey and Clover II (TV)
6431|Kanon (TV 2/2006)
1965|Kino's Journey (TV)
7998|Time of Eve (ONA)
153|GTO: Great Teacher Onizuka (TV)
10387|Hajime no Ippo: New Challenger (TV)
10254|Natsume's Book of Friends (TV 2)
12120|Puella Magi Madoka Magica (TV)
11350|Time of Eve (movie)
889|Howl's Moving Castle (movie)
15054|Monogatari Series Second Season (TV)
15745|Mushishi Tokubetsu-hen: Hihamukage (special)
16644|Gintama (TV 4)
13944|Kids on the Slope (TV)
374|Millennium Actress (movie)
7890|Mononoke (TV)
12542|Natsume's Book of Friends (TV 3)
1805|Kaleido Star (TV)
6430|Melancholy of Haruhi Suzumiya (TV)
7809|Clannad (TV)
4194|Gankutsuou: The Count of Monte Cristo (TV)
6115|NANA (TV)
2654|Planetes (TV)
10291|Beast Player Erin (TV)
6300|Looking Up At The Half-Moon (TV)
847|Whisper of the Heart (movie)
481|Castle in the Sky (movie)
10576|Gurren Lagann the Movie – The Lights in the Sky Are Stars (movie)
10885|Angel Beats! (TV)
6122|Ouran High School Host Club (TV)
2636|Samurai Champloo (TV)
10128|ef: a tale of melodies (TV)
910|Ghost in the Shell: Stand Alone Complex (TV)
16660|Haikyu!! Second Season (TV)
8192|ef: a tale of memories (TV)
6634|Moribito - Guardian of the Spirit (TV)
8657|Aria the Origination (TV)
10269|Spice and Wolf II (TV)
16108|Your Lie in April (TV)
17219|Mushishi Zoku-Shō Tokubetsu-hen: Odoro no Michi (special)
6357|Welcome to the NHK (TV)
6832|Black Lagoon: The Second Barrage (TV)
4975|Honey and Clover (TV)
12991|Chihayafuru (TV)
2340|Sword of the Stranger (movie)
1135|Hunter X Hunter (OAV)
1865|Legend of the Galactic Heroes: Overture to a New War (movie)
7087|Romeo × Juliet (TV)
14976|Tale of the Princess Kaguya (movie)
14995|Garden of Words (movie)
1871|Haibane Renmei (TV)
4115|Major (TV)
10050|Toradora! (TV)
10806|Mobile Suit Gundam UC (OAV)
353|Cowboy Bebop: The Movie (movie)
8420|Evangelion: 1.0 You Are (Not) Alone (movie)
840|Twelve Kingdoms (TV)
2018|Tokyo Godfathers (movie)
